I can play much better now
Moved 1221.63 370.5 560.5 0.02430558 0.4436727
Moved 1221.661 376.1277 562 0.03733267 0.4475308
Moved 1221.692 380.6205 564 0.04773279 0.4526748
Moved 1221.723 383.1762 565.1762 0.05364865 0.4557
Moved 1221.753 385.2359 565 0.05841653 0.4552468
Moved 1221.784 387.5 566 0.06365737 0.4578188
Moved 1221.815 387 567.5 0.06250004 0.4616768
Ended 1221.845 388 567 0.06481478 0.4603909
Candidates 1221.968 13 play part plate pay player oldest okay post past holiday hillary phase polar
Began 1222.491 338 489 -0.05092591 0.2597736
Stationary 1222.522 338 489 -0.05092591 0.2597736
Moved 1222.552 358.8263 489 -0.00271683 0.2597736
Moved 1222.583 385.6908 489 0.05946954 0.2597736
Moved 1222.614 414.2786 489 0.125645 0.2597736
Moved 1222.645 442.396 489 0.1907316 0.2597736
Ended 1222.675 478 489 0.2731481 0.2597736
Accept 1222.767 0 play
Began 1223.105 369 504 0.02083332 0.2983539
Stationary 1223.136 369 504 0.02083332 0.2983539
Moved 1223.167 369 493.9634 0.02083332 0.2725396
Moved 1223.198 380.1482 477.2776 0.04663944 0.2296235
Moved 1223.228 394.1509 458.8276 0.07905293 0.1821696
Moved 1223.259 413.0676 438.3513 0.1228417 0.1295041
Moved 1223.29 427.804 422.196 0.1569537 0.08795255
Moved 1223.321 442.1507 409.2328 0.1901636 0.05461119
Moved 1223.351 453.8283 400.1373 0.2171952 0.03121737
Moved 1223.382 465.586 390.9427 0.244412 0.007568602
Moved 1223.413 478.4601 381.7239 0.274213 -0.01614221
Moved 1223.443 488.5836 375.7082 0.2976473 -0.03161473
Moved 1223.474 495.7054 372.1964 0.314133 -0.04064732
Moved 1223.505 500.9194 369.5403 0.3262022 -0.04747862
Moved 1223.536 504.0079 369 0.3333516 -0.04886839
Moved 1223.566 505 368 0.3356481 -0.05144041
Moved 1223.597 505 367.2084 0.3356481 -0.05347632
Stationary 1223.628 505 367 0.3356481 -0.05401234
Stationary 1223.659 505 367 0.3356481 -0.05401234
Moved 1223.689 485.2187 395.172 0.289858 0.01844649
Moved 1223.72 470.8427 421.3146 0.2565803 0.0856856
Moved 1223.751 457.6049 451.3482 0.2259373 0.1629325
Moved 1223.781 445.642 485.0739 0.1982455 0.2496755
Moved 1223.812 437.817 513.7321 0.1801319 0.3233849
Moved 1223.843 433.7244 534.6535 0.1706584 0.3771951
Moved 1223.874 430.8121 559.879 0.1639169 0.4420754
Moved 1223.904 429 586.4542 0.1597223 0.5104275
Moved 1223.935 428 607.0716 0.1574074 0.5634557
Moved 1223.966 428 626.3226 0.1574074 0.6129696
Moved 1223.997 428 646.1896 0.1574074 0.6640679
Moved 1224.027 428 658.486 0.1574074 0.6956941
Moved 1224.058 428 669.9966 0.1574074 0.7252997
Moved 1224.089 428 676.1599 0.1574074 0.7411519
Moved 1224.12 428 680.0615 0.1574074 0.7511868
Moved 1224.15 428 681 0.1574074 0.7536006
Moved 1224.181 425.8286 681 0.1523811 0.7536006
Moved 1224.212 423.6945 681 0.1474409 0.7536006
Moved 1224.242 418.0852 670.1703 0.1344565 0.7257466
Moved 1224.273 413 660 0.1226852 0.6995884
Moved 1224.304 404.7779 642.4077 0.1036525 0.6543407
Moved 1224.335 398.2141 622.3802 0.08845855 0.6028298
Moved 1224.365 388.3477 588.6229 0.06561974 0.5160052
Moved 1224.396 381.0876 560.8941 0.04881382 0.4446863
Moved 1224.427 374.0385 530.1284 0.03249655 0.3655565
Moved 1224.458 369.6452 507.4034 0.02232691 0.3071073
Moved 1224.488 364.4619 480.8478 0.01032859 0.2388059
Moved 1224.519 360.6729 460.7106 0.001557767 0.1870127
Moved 1224.55 356.1431 444.8587 -0.008927931 0.1462415
Moved 1224.58 351.7872 429.2552 -0.0190111 0.1061089
Moved 1224.611 347.6579 411.6317 -0.0285696 0.06078104
Moved 1224.642 342.5493 394.4228 -0.04039501 0.01651952
Moved 1224.673 338.2395 379.1974 -0.05037154 -0.02264038
Moved 1224.703 334.9964 366.9818 -0.05787879 -0.0540592
Moved 1224.734 332.4434 357.3303 -0.06378839 -0.07888299
Moved 1224.765 330.8857 350.7714 -0.06739427 -0.09575275
Moved 1224.796 330 345.3438 -0.06944443 -0.1097127
Moved 1224.826 329 344.0895 -0.07175927 -0.1129387
Moved 1224.857 329 344 -0.07175927 -0.1131688
Stationary 1224.888 329 344 -0.07175927 -0.1131688
Moved 1224.919 329 354.5 -0.07175927 -0.08616254
Moved 1224.949 335.7149 368.7149 -0.05621542 -0.04960166
Moved 1224.98 346.0675 390.8467 -0.03225108 0.007321824
Moved 1225.011 355.677 411.1387 -0.01000688 0.05951312
Moved 1225.042 366.7912 431.1346 0.01572043 0.1109429
Moved 1225.072 376.8208 446.3492 0.03893713 0.150075
Moved 1225.103 385.9348 457.9348 0.06003429 0.1798734
Moved 1225.134 392.5953 468.393 0.07545213 0.2067721
Moved 1225.164 399.0395 476.386 0.09036928 0.2273303
Moved 1225.195 403.4326 482.4326 0.1005384 0.242882
Moved 1225.226 410.5869 490.7825 0.1170993 0.2643581
Moved 1225.256 417.4976 497.4976 0.1330963 0.2816294
Moved 1225.287 423.6055 503.6055 0.1472349 0.2973391
Moved 1225.318 428 506.5 0.1574074 0.3047839
Ended 1225.349 435 508.5 0.1736111 0.3099279
Candidates 1225.502 13 much nick click bitch bunch block mock luck church buying chuck bush knock
Began 1225.933 377 463 0.03935188 0.1929011
Stationary 1225.963 377 463 0.03935188 0.1929011
Moved 1225.994 393.9652 463 0.07862319 0.1929011
Moved 1226.025 423.2586 463 0.1464319 0.1929011
Moved 1226.056 449 463 0.2060185 0.1929011
Ended 1226.086 499.5942 463 0.3231347 0.1929011
Accept 1226.148 0 much
Began 1226.885 422 514 0.1435185 0.324074
Stationary 1226.916 422 514 0.1435185 0.324074
Moved 1226.947 422 502.3864 0.1435185 0.2942035
Moved 1226.977 414 470.4477 0.125 0.2120568
Moved 1227.008 420.3193 428.9448 0.1396281 0.1053106
Moved 1227.039 429.7359 385.0562 0.1614258 -0.007571467
Moved 1227.07 433.995 361.035 0.1712847 -0.06935433
Moved 1227.1 437.5 348 0.1793981 -0.1028807
Moved 1227.131 439 342.3505 0.1828703 -0.1174113
Moved 1227.162 439 338.3461 0.1828703 -0.1277108
Moved 1227.193 439 337.5 0.1828703 -0.1298869
Moved 1227.223 439 338 0.1828703 -0.1286009
Moved 1227.254 439 343.5135 0.1828703 -0.1144199
Moved 1227.285 424.5683 361.2908 0.1494636 -0.06869665
Moved 1227.315 415.6245 382.751 0.1287604 -0.01350065
Moved 1227.346 406.4185 404.9537 0.1074503 0.04360513
Moved 1227.377 400.8024 419.8604 0.09444992 0.08194526
Moved 1227.408 392.179 444.0527 0.07448833 0.1441683
Moved 1227.438 383.7066 466.8802 0.05487641 0.2028811
Moved 1227.469 377.3597 486.2409 0.04018456 0.2526772
Moved 1227.5 370.5 501.5 0.02430558 0.2919238
Moved 1227.531 363.8016 516.496 0.00880003 0.3304937
Moved 1227.561 356.0202 531.2996 -0.009212493 0.3685689
Moved 1227.592 347.1229 545.3157 -0.02980818 0.4046184
Moved 1227.623 342 555 -0.04166668 0.4295266
Moved 1227.653 336.9525 563.0712 -0.05335068 0.4502859
Moved 1227.684 335.4177 568.747 -0.05690356 0.4648842
Moved 1227.715 335 576.5391 -0.05787035 0.4849256
Moved 1227.746 334 582.5 -0.06018519 0.5002571
Moved 1227.776 334 587.782 -0.06018519 0.5138426
Moved 1227.807 334 594.4562 -0.06018519 0.5310086
Moved 1227.838 334 599.0668 -0.06018519 0.5428671
Moved 1227.869 334 604 -0.06018519 0.5555555
Moved 1227.899 340.1342 606.7526 -0.04598562 0.5626352
Moved 1227.93 342.2177 608.2177 -0.04116287 0.5664033
Moved 1227.961 343 610.9854 -0.03935183 0.5735221
Moved 1227.991 344.2632 612.2632 -0.03642773 0.5768085
Moved 1228.022 344 613 -0.03703703 0.5787036
Stationary 1228.053 344 613 -0.03703703 0.5787036
Moved 1228.084 345.9193 613 -0.0325941 0.5787036
Moved 1228.115 352.4031 613 -0.01758531 0.5787036
Moved 1228.145 359.7878 613 -0.0004912416 0.5787036
Moved 1228.176 375 602.5 0.03472219 0.5516974
Moved 1228.207 378.4291 604.1903 0.04266004 0.5560449
Moved 1228.237 383.7284 602.6358 0.05492687 0.5520467
Moved 1228.268 386.6323 603 0.06164879 0.5529835
Moved 1228.299 388.5 603 0.06597221 0.5529835
Moved 1228.33 388 603 0.06481478 0.5529835
Moved 1228.36 380.2884 611.8132 0.04696389 0.5756512
Moved 1228.391 372 616 0.02777775 0.5864196
Moved 1228.422 362.6493 619.0876 0.006132623 0.5943611
Moved 1228.452 350.4384 621.6404 -0.02213324 0.6009269
Moved 1228.483 341.4172 623.1943 -0.04301573 0.6049234
Moved 1228.514 332.0974 624.4756 -0.06458933 0.6082191
Moved 1228.545 324.9379 624 -0.08116235 0.6069958
Moved 1228.575 317.2508 624.5831 -0.09895658 0.6084954
Moved 1228.606 310.5635 625 -0.1144364 0.6095678
Moved 1228.637 307.2025 626 -0.1222163 0.6121398
Moved 1228.668 302.0915 627 -0.1340474 0.6147118
Moved 1228.698 298.5 627 -0.1423611 0.6147118
Moved 1228.729 295.9416 627 -0.1482833 0.6147118
Stationary 1228.76 296 627 -0.1481481 0.6147118
Stationary 1228.791 296 627 -0.1481481 0.6147118
Stationary 1228.821 296 627 -0.1481481 0.6147118
Moved 1228.852 310.7801 627 -0.113935 0.6147118
Moved 1228.883 320.0846 627 -0.09239679 0.6147118
Moved 1228.913 331.0991 627 -0.0669002 0.6147118
Moved 1228.944 343.6234 627 -0.0379087 0.6147118
Moved 1228.975 354.5148 627 -0.01269723 0.6147118
Moved 1229.006 360.2461 627 0.0005696217 0.6147118
Moved 1229.036 365.3531 627 0.01239151 0.6147118
Moved 1229.067 368.2314 627 0.01905431 0.6147118
Moved 1229.098 370.7919 620 0.0249813 0.5967077
Moved 1229.129 373.0935 620 0.03030916 0.5967077
Ended 1229.159 375.7068 620 0.03635843 0.5967077
Candidates 1229.282 13 better very beer bet bed best net be betty new battery beef needed
Began 1229.774 336 453 -0.05555556 0.167181
Stationary 1229.805 336 453 -0.05555556 0.167181
Moved 1229.835 374 453 0.03240744 0.167181
Moved 1229.866 402.6949 453 0.09883086 0.167181
Moved 1229.897 426.5291 453 0.1540024 0.167181
Ended 1229.927 456 461 0.2222222 0.1877571
Accept 1229.989 0 better
Began 1230.481 390 541 0.06944448 0.3935184
Stationary 1230.511 390 541 0.06944448 0.3935184
Stationary 1230.542 390 541 0.06944448 0.3935184
Moved 1230.573 390 520.8173 0.06944448 0.3416083
Moved 1230.604 404.5957 493.9321 0.1032307 0.2724591
Moved 1230.634 418.1207 462.7587 0.1345386 0.1922805
Moved 1230.665 429.1903 438.1592 0.1601628 0.1290102
Moved 1230.696 436.8607 420.2786 0.1779183 0.08302107
Moved 1230.727 441.3082 411.3837 0.1882134 0.06014309
Moved 1230.757 447.2188 403.6718 0.2018954 0.04030797
Moved 1230.788 454.3202 396.6798 0.2183338 0.02232453
Moved 1230.819 460.4195 393.7903 0.2324526 0.01489262
Moved 1230.849 466.5 391.5 0.2465278 0.009002057
Moved 1230.88 470.0298 392 0.2546985 0.01028803
Moved 1230.911 475.6955 402.2607 0.2678136 0.03667863
Moved 1230.942 481.2496 413.6241 0.2806704 0.06590549
Moved 1230.972 489.3884 434.8595 0.2995103 0.1205233
Moved 1231.003 491.9304 443.7563 0.3053943 0.143406
Moved 1231.034 495.5 461.5 0.3136574 0.1890431
Moved 1231.065 499.0749 481.5245 0.3219327 0.2405466
Moved 1231.095 502.5 499 0.3298611 0.2854938
Moved 1231.126 504.8901 512.3407 0.3353937 0.3198062
Moved 1231.157 507.4474 526.6847 0.3413136 0.3566992
Moved 1231.188 510.0009 541.0043 0.3472241 0.3935294
Moved 1231.218 512.5 553.5 0.3530093 0.4256686
Moved 1231.249 515.785 564.9251 0.3606135 0.4550542
Moved 1231.28 519.6628 576.657 0.3695897 0.4852288
Moved 1231.31 524.7747 588.324 0.3814228 0.5152367
Moved 1231.341 529.9 598.8 0.3932869 0.5421809
Moved 1231.372 533.7208 604.4416 0.4021316 0.5566912
Moved 1231.403 536.2787 609.5575 0.4080527 0.5698494
Moved 1231.433 536 613.6485 0.4074074 0.5803716
Moved 1231.464 536 617.7488 0.4074074 0.5909175
Moved 1231.495 536 621.2423 0.4074074 0.5999029
Moved 1231.526 525.658 625.171 0.3834675 0.6100076
Moved 1231.556 518.0887 628.7278 0.3659462 0.6191559
Moved 1231.587 508.8817 631.2796 0.3446335 0.625719
Moved 1231.618 500.7121 633.572 0.3257225 0.631615
Moved 1231.648 491.6122 635.1293 0.3046577 0.6356204
Moved 1231.679 479.5621 636 0.2767642 0.6378599
Moved 1231.71 466.7736 637 0.247161 0.6404321
Moved 1231.741 450.5 638.5 0.2094908 0.64429
Moved 1231.771 436.7262 638 0.177607 0.643004
Moved 1231.802 423.9348 638.613 0.1479971 0.6445808
Moved 1231.833 409.1515 639 0.1137765 0.6455761
Moved 1231.863 397.9922 639 0.08794496 0.6455761
Moved 1231.894 388.1351 640 0.06512761 0.6481481
Moved 1231.925 378 641.5 0.04166663 0.6520061
Moved 1231.956 369.7929 642 0.02266884 0.653292
Moved 1231.986 362.9934 643 0.006929139 0.6558642
Moved 1232.017 353.6647 646.1676 -0.01466498 0.6640112
Moved 1232.048 349.6362 646 -0.02399037 0.6635801
Moved 1232.079 343.9943 649.0029 -0.03705025 0.6713035
Moved 1232.109 338.5059 651.2471 -0.04975497 0.6770758
Moved 1232.14 331.6037 652.7988 -0.0657322 0.6810666
Moved 1232.171 326.287 654 -0.07803931 0.6841563
Moved 1232.202 318.2642 654 -0.09661068 0.6841563
Moved 1232.232 311.4204 654 -0.1124528 0.6841563
Moved 1232.263 301.9897 655 -0.1342832 0.6867283
Moved 1232.294 294.0647 656 -0.1526279 0.6893002
Moved 1232.324 287.3958 657 -0.1680654 0.6918722
Moved 1232.355 281.6349 657 -0.1814007 0.6918722
Moved 1232.386 276.6395 657 -0.1929642 0.6918722
Moved 1232.417 270.2922 657 -0.2076569 0.6918722
Moved 1232.447 266.4168 657 -0.2166278 0.6918722
Moved 1232.478 261.9627 657 -0.2269381 0.6918722
Moved 1232.509 259.425 657 -0.2328124 0.6918722
Moved 1232.54 257.9312 657 -0.2362703 0.6918722
Ended 1232.57 256.5737 658.4263 -0.2394128 0.695541
Candidates 1232.693 13 now note blue not more nor blow moore notes noted miss know mike
Began 1233.154 268 597 -0.212963 0.5375513
Stationary 1233.185 268 597 -0.212963 0.5375513
Moved 1233.216 315.7744 597 -0.1023741 0.5375513
Moved 1233.246 385.0756 597 0.05804539 0.5375513
Moved 1233.277 432.9716 605.1038 0.1689157 0.5583944
Moved 1233.308 522.5823 614.8799 0.376348 0.5835387
Ended 1233.339 555.5 620.5 0.4525463 0.5979937
Accept 1233.4 0 now
Began 1233.769 239 568 -0.2800926 0.4629629
Stationary 1233.799 239 568 -0.2800926 0.4629629
Stationary 1233.83 239 568 -0.2800926 0.4629629
Moved 1233.861 310.065 568 -0.1155903 0.4629629
Moved 1233.892 400.5668 568 0.09390463 0.4629629
Moved 1233.922 504.713 568 0.3349839 0.4629629
Moved 1233.953 620.9034 582.7401 0.6039429 0.5008746
Ended 1233.984 653.0811 583 0.6784284 0.5015431
PhraseEnd 1234.045
