insurance is important for bad drivers
Moved 441.8693 223.5418 416.9482 -0.3158755 0.07445507
Moved 441.9001 213.7788 396.5576 -0.338475 0.0220101
Moved 441.9308 205.5 380 -0.3576389 -0.02057613
Moved 441.9615 199.677 369.3539 -0.3711181 -0.0479582
Moved 441.9922 195.935 362.9351 -0.37978 -0.06446745
Moved 442.0229 194.0938 357.1876 -0.3840422 -0.0792501
Moved 442.0536 193 353.3706 -0.3865741 -0.08906744
Moved 442.0844 190.6984 352 -0.3919018 -0.09259266
Moved 442.1151 189.8322 348.8322 -0.3939068 -0.1007403
Moved 442.1458 190 346 -0.3935185 -0.1080248
Moved 442.1765 190 343.3855 -0.3935185 -0.1147492
Moved 442.2072 190 340.5094 -0.3935185 -0.1221466
Moved 442.2379 202.0975 335.2683 -0.3655151 -0.1356268
Moved 442.2687 217.4536 328.2342 -0.3299686 -0.1537187
Moved 442.2994 246.6571 317.9371 -0.2623678 -0.1802029
Moved 442.3301 265.8524 309.0738 -0.2179344 -0.2029996
Moved 442.3608 283.0982 297.4509 -0.1780134 -0.2328939
Moved 442.3915 296.1181 288.9056 -0.1478748 -0.2548725
Moved 442.4223 312.2671 277.4188 -0.1104928 -0.2844168
Moved 442.4529 326.1165 268.6626 -0.07843389 -0.3069378
Moved 442.4837 337 260.5 -0.05324075 -0.3279321
Moved 442.5144 343.5734 254.4266 -0.03802463 -0.3435529
Moved 442.5451 349.1263 250.8738 -0.02517064 -0.3526909
Moved 442.5759 355.881 246.119 -0.009534855 -0.3649203
Moved 442.6066 363.3917 243.0721 0.007851124 -0.3727569
Moved 442.6373 370.6839 239.6581 0.02473136 -0.3815378
Moved 442.668 376.4221 239 0.03801406 -0.3832304
Moved 442.6988 382.1837 237 0.05135129 -0.3883744
Moved 442.7295 389.0135 235.3289 0.06716093 -0.3926727
Moved 442.7601 394.5524 235 0.07998239 -0.3935186
Moved 442.7909 398.427 233.573 0.08895128 -0.3971888
Moved 442.8216 402.9636 234 0.09945274 -0.3960905
Moved 442.8524 408.6578 234 0.1126337 -0.3960905
Moved 442.883 411.7014 233.2986 0.1196793 -0.3978947
Moved 442.9137 414.5797 233 0.1263418 -0.3986626
Moved 442.9445 416.0379 233 0.1297174 -0.3986626
Moved 442.9752 417.2494 233 0.1325218 -0.3986626
Stationary 443.0059 417.2494 233 0.1325218 -0.3986626
Stationary 443.0367 417.2494 233 0.1325218 -0.3986626
Stationary 443.0674 417 233 0.1319444 -0.3986626
Moved 443.0981 404.3242 233 0.1026023 -0.3986626
Moved 443.1288 381.8777 243.0459 0.05064289 -0.3728244
Moved 443.1595 364.205 248.0656 0.009733936 -0.3599137
Moved 443.1902 344.4988 252.4169 -0.03588229 -0.348722
Moved 443.221 328.5548 255.2891 -0.07278974 -0.3413347
Moved 443.2517 318.3455 256.1636 -0.09642239 -0.3390854
Moved 443.2823 312.5194 256 -0.1099087 -0.3395062
Moved 443.3131 306.1701 256 -0.1246063 -0.3395062
Moved 443.3438 300.0284 256 -0.1388232 -0.3395062
Moved 443.3746 295.961 257 -0.1482385 -0.3369342
Moved 443.4053 292.1045 257 -0.1571656 -0.3369342
Moved 443.436 289.2262 258 -0.1638283 -0.3343622
Moved 443.4667 286.3512 259 -0.1704833 -0.3317901
Moved 443.4974 283.8438 261.3124 -0.1762875 -0.3258427
Moved 443.5281 277.9045 273.2229 -0.190036 -0.2952087
Moved 443.5589 272.1752 305.6859 -0.2032981 -0.2117134
Moved 443.5896 269.5 337 -0.2094908 -0.1311728
Moved 443.6203 265.677 366.8763 -0.2183403 -0.05433047
Moved 443.651 265 388.2031 -0.2199074 0.0005224016
Moved 443.6818 264 402.2651 -0.2222222 0.03669001
Moved 443.7125 263 413.9321 -0.2245371 0.06669766
Moved 443.7432 261.5401 423.3798 -0.2279165 0.0909972
Moved 443.7739 260.6597 429.6807 -0.2299545 0.1072033
Moved 443.8046 259.7865 435.4269 -0.2319756 0.1219828
Moved 443.8353 260 439.7877 -0.2314815 0.1331988
Moved 443.8661 259 443.657 -0.2337963 0.1431506
Moved 443.8968 254.8793 451.1207 -0.2433349 0.1623473
Ended 443.9275 253 453 -0.2476852 0.167181
Candidates 444.1118 13 insurance instance indiana instant understand instances renaissance indians substances interface indirect substance understands
Began 444.6648 361 471 0.002314846 0.2134772
Moved 444.6955 369.3012 471 0.02153049 0.2134772
Moved 444.7262 403.6749 465.3067 0.1010993 0.198834
Moved 444.7569 436.4326 454.6609 0.1769273 0.1714528
Moved 444.7876 456.6074 448.7975 0.2236282 0.1563722
Ended 444.8184 469 445 0.2523148 0.1466049
Accept 445.0641 0 insurance
Began 445.6785 484 549 0.287037 0.4140946
Stationary 445.7092 484 549 0.287037 0.4140946
Stationary 445.74 484 549 0.287037 0.4140946
Moved 445.7706 461.1117 542.0167 0.2340548 0.3961333
Moved 445.8014 425.9071 518.2714 0.1525626 0.33506
Moved 445.8321 388.1884 491.2279 0.06525079 0.2655038
Moved 445.8628 356.5774 469.2381 -0.007922749 0.2089456
Moved 445.8935 333.3554 452.832 -0.06167725 0.166749
Moved 445.9242 310.9987 435.8741 -0.113429 0.123133
Moved 445.9549 293.5034 421.5034 -0.1539274 0.08617126
Moved 445.9857 280.1372 409.1373 -0.1848675 0.05436536
Moved 446.0164 271.1927 402.1927 -0.2055724 0.03650398
Moved 446.0471 260.575 393.575 -0.2301504 0.01433898
Moved 446.0779 252.6192 388.3096 -0.2485666 0.0007962984
Moved 446.1086 246.6412 384.8206 -0.2624047 -0.008177619
Ended 446.1393 232 380.5 -0.2962963 -0.0192902
Candidates 446.2007 13 is us its id usa odds pass his pa if oa puts ps
Began 446.723 337 487 -0.05324075 0.2546296
Stationary 446.7537 337 487 -0.05324075 0.2546296
Moved 446.7844 388.8704 487 0.06682952 0.2546296
Moved 446.8151 422.471 487 0.1446089 0.2546296
Moved 446.8458 443.8987 487 0.1942098 0.2546296
Moved 446.8766 458.9424 487 0.2290332 0.2546296
Ended 446.9073 466.0294 487 0.2454385 0.2546296
Accept 446.9687 0 is
Began 447.8289 464 585 0.2407408 0.5066872
Stationary 447.8596 464 585 0.2407408 0.5066872
Moved 447.8903 464 568.3187 0.2407408 0.4637825
Moved 447.921 464 536 0.2407408 0.3806583
Moved 447.9518 464 503.2739 0.2407408 0.2964864
Moved 447.9824 464 462.32 0.2407408 0.1911522
Moved 448.0132 464 426.9757 0.2407408 0.1002461
Moved 448.0439 472.3336 407.6652 0.2600314 0.05057911
Moved 448.0746 474 391.4145 0.2638889 0.008782045
Moved 448.1053 477.1935 373.6459 0.2712811 -0.03691912
Moved 448.1361 480.0765 357.6177 0.2779548 -0.07814384
Moved 448.1668 483.6389 343.8057 0.2862011 -0.1136685
Moved 448.1975 486.5126 328.4119 0.2928532 -0.1532615
Moved 448.2282 488.3969 309.2218 0.297215 -0.2026189
Moved 448.2589 489.9469 300.2125 0.300803 -0.2257909
Moved 448.2897 490 291.5657 0.300926 -0.2480306
Moved 448.3204 491 286.3141 0.3032407 -0.2615378
Moved 448.3511 491 282 0.3032407 -0.2726338
Moved 448.3818 491 280.9294 0.3032407 -0.2753872
Moved 448.4125 491.9437 281 0.3054253 -0.2752058
Moved 448.4432 495.645 300.225 0.313993 -0.2257588
Moved 448.474 499.5 328 0.3229167 -0.1543211
Moved 448.5047 510.2731 372.8563 0.3478544 -0.03894978
Moved 448.5354 517.23 415.6101 0.3639584 0.07101361
Moved 448.566 520.9952 445.9573 0.3726742 0.1490669
Moved 448.5968 523.5056 465.5389 0.3784851 0.1994314
Moved 448.6276 526.3802 483.6617 0.3851395 0.2460435
Moved 448.6583 529 497.3134 0.3912036 0.2811557
Moved 448.689 532.1222 506.3665 0.398431 0.3044405
Moved 448.7197 532.6973 510.6973 0.3997623 0.3155795
Moved 448.7504 533 514.58 0.4004629 0.3255658
Moved 448.7811 533 517.4487 0.4004629 0.3329442
Moved 448.8119 533 518.9833 0.4004629 0.3368911
Moved 448.8426 524.4589 520.8541 0.3806919 0.3417029
Moved 448.8733 511.366 522 0.3503842 0.3446501
Moved 448.9041 493.7596 522 0.3096288 0.3446501
Moved 448.9348 468.6205 522 0.2514364 0.3446501
Moved 448.9655 444.148 522 0.194787 0.3446501
Moved 448.9962 419.9286 515.9286 0.1387236 0.3290345
Moved 449.0269 399.5 513.5 0.09143522 0.3227879
Moved 449.0576 379.2498 510.7083 0.04455974 0.3156077
Moved 449.0884 361.0057 509 0.002327959 0.3112139
Moved 449.1191 346.7525 509 -0.0306656 0.3112139
Moved 449.1498 332.1505 507.4301 -0.06446649 0.3071761
Moved 449.1805 317.751 504.5502 -0.0977985 0.299769
Moved 449.2112 308.0276 502.6758 -0.1203066 0.2949481
Moved 449.242 298.4153 501.8051 -0.1425573 0.2927085
Moved 449.2727 290.6743 502 -0.1604761 0.2932098
Moved 449.3034 283.7087 501 -0.1766001 0.2906378
Moved 449.3341 278.9541 501 -0.1876062 0.2906378
Moved 449.3649 275.9525 501 -0.1945543 0.2906378
Moved 449.3956 273.0593 501 -0.2012517 0.2906378
Moved 449.4263 270.1847 501 -0.2079058 0.2906378
Moved 449.457 269 501 -0.2106481 0.2906378
Moved 449.4877 267.7999 501 -0.2134262 0.2906378
Moved 449.5185 266.9194 501 -0.2154643 0.2906378
Stationary 449.5492 267 501 -0.2152778 0.2906378
Moved 449.5799 265.5 501 -0.21875 0.2906378
Moved 449.6106 266 501 -0.2175926 0.2906378
Stationary 449.6413 266 501 -0.2175926 0.2906378
Stationary 449.6721 266 501 -0.2175926 0.2906378
Moved 449.7027 266 511.3639 -0.2175926 0.3172939
Moved 449.7335 266 510.5 -0.2175926 0.3150719
Moved 449.7642 275.3983 513.3983 -0.1958373 0.3225265
Moved 449.7949 280.2753 516.2753 -0.1845479 0.3299262
Moved 449.8256 288.5686 521.2843 -0.1653504 0.3428093
Moved 449.8564 291.4335 521.7167 -0.1587188 0.3439216
Moved 449.8871 298.7885 524 -0.1416933 0.3497942
Moved 449.9178 307.4102 525 -0.1217355 0.3523662
Moved 449.9485 317.0523 526 -0.09941598 0.3549381
Moved 449.9792 325.6838 526 -0.07943571 0.3549381
Moved 450.0099 334.0837 526 -0.05999143 0.3549381
Moved 450.0406 340.8376 526 -0.04435738 0.3549381
Moved 450.0714 345.1516 526 -0.03437127 0.3549381
Moved 450.1021 347.5 526 -0.02893518 0.3549381
Moved 450.1328 348 521.2283 -0.0277778 0.3426654
Moved 450.1635 349 514.0919 -0.02546296 0.3243103
Moved 450.1942 349 504.7098 -0.02546296 0.3001796
Moved 450.225 319.1064 469.693 -0.09466121 0.2101156
Moved 450.2557 289.305 440.7542 -0.1636458 0.1356845
Moved 450.2864 260.6 414.8 -0.2300925 0.06893008
Moved 450.3171 237.7821 398.6567 -0.2829118 0.02740926
Moved 450.3479 217.9267 385.6178 -0.3288735 -0.006127181
Moved 450.3786 207.2463 380.0821 -0.3535966 -0.02036507
Moved 450.4093 200.4165 376.2083 -0.3694062 -0.03032865
Moved 450.44 196.3328 374.3328 -0.3788593 -0.03515244
Moved 450.4707 194.8455 374 -0.382302 -0.03600823
Moved 450.5015 195 373 -0.3819444 -0.03858032
Moved 450.5322 216.5349 370.0388 -0.3320953 -0.04619669
Moved 450.5629 256.9448 362.5138 -0.2385536 -0.06555094
Moved 450.5936 290.9206 353.6931 -0.1599059 -0.08823787
Moved 450.6243 329.9032 343.3495 -0.06966859 -0.1148419
Moved 450.655 337.4542 340.8183 -0.05218938 -0.1213522
Moved 450.6858 350.8851 337.2787 -0.0210993 -0.130456
Moved 450.7163 366.5923 329.4604 0.01525998 -0.1505648
Moved 450.7472 382.9728 321.2109 0.05317777 -0.1717828
Moved 450.7779 393.818 315.4547 0.07828246 -0.186588
Moved 450.8087 402.3397 308.6603 0.09800851 -0.2040629
Moved 450.8394 409.3157 301.3422 0.1141566 -0.2228854
Moved 450.8701 414.5291 295.9417 0.1262249 -0.2367756
Moved 450.9008 417.4081 291.1838 0.1328891 -0.249013
Moved 450.9315 420.9842 286.0316 0.1411671 -0.2622645
Moved 450.9622 423.8575 281.1425 0.1478182 -0.2748393
Moved 450.993 425 280 0.150463 -0.2777778
Moved 451.0237 404.8943 309.5007 0.1039221 -0.2019015
Moved 451.0544 389.2019 339.4327 0.06759703 -0.124916
Moved 451.0851 367.7746 382.4883 0.01799683 -0.01417631
Moved 451.1158 355.2897 408.2275 -0.01090353 0.05202552
Moved 451.1466 347.7511 427.3304 -0.02835393 0.1011583
Moved 451.1773 342.4186 441.4534 -0.0406976 0.1374828
Moved 451.208 340.8416 453.6338 -0.04434824 0.1688111
Moved 451.2387 340 460.5806 -0.04629632 0.1866783
Ended 451.2694 338.8497 471.3524 -0.04895896 0.2143837
Candidates 451.3616 13 important importance impact immigrant improve polish unpleasant initially mortgage implement elegant interact inherent
Began 451.9146 329 474 -0.07175927 0.2211934
Moved 451.9453 336.3013 474 -0.05485807 0.2211934
Moved 451.976 375.9868 474 0.03700664 0.2211934
Moved 452.0067 416.8735 474 0.1316517 0.2211934
Moved 452.0375 438.9782 474 0.18282 0.2211934
Moved 452.0682 449.7667 467.8165 0.2077933 0.2052892
Ended 452.0989 450 467 0.2083333 0.2031892
Accept 452.1603 0 important
Began 453.0205 324 431 -0.08333336 0.1105966
Stationary 453.0512 324 431 -0.08333336 0.1105966
Stationary 453.0819 324 431 -0.08333336 0.1105966
Stationary 453.1127 324 431 -0.08333336 0.1105966
Stationary 453.1434 324 431 -0.08333336 0.1105966
Stationary 453.1741 324 431 -0.08333336 0.1105966
Stationary 453.2048 324 431 -0.08333336 0.1105966
Stationary 453.2355 324 431 -0.08333336 0.1105966
Moved 453.2663 335.9108 431 -0.05576213 0.1105966
Moved 453.2969 359.7299 446.3318 -0.0006252528 0.1500302
Moved 453.3277 400.2245 465.2643 0.09311239 0.198725
Moved 453.3584 446.402 488.701 0.2000046 0.2590045
Moved 453.3891 471.3685 506.6918 0.2577975 0.3052772
Moved 453.4199 489.015 517.609 0.2986458 0.3333564
Moved 453.4506 497.4997 523.4997 0.3182863 0.3485073
Moved 453.4813 500.623 526 0.3255162 0.3549381
Moved 453.512 502.5 528.5 0.3298611 0.3613682
Stationary 453.5427 502.5 528.5 0.3298611 0.3613682
Moved 453.5735 494.9724 529.8784 0.3124361 0.3649136
Moved 453.6042 464.4863 531 0.2418665 0.3677982
Moved 453.6349 404.431 531 0.1028495 0.3677982
Moved 453.6656 350.9854 522.8413 -0.02086709 0.346814
Moved 453.6963 283.9161 523 -0.1761201 0.3472221
Moved 453.7271 259.3327 529.6673 -0.2330261 0.3643705
Moved 453.7578 244.0138 532 -0.2684866 0.3703703
Ended 453.7885 229.5 533.5 -0.3020833 0.3742283
Candidates 453.8807 13 for fire type fort dow hire diet how gore hope die row route
Began 454.3722 351 448 -0.02083332 0.1543209
Stationary 454.4029 351 448 -0.02083332 0.1543209
Moved 454.4337 387.3288 448 0.06326119 0.1543209
Moved 454.4644 427.2717 439.6749 0.1557215 0.1329086
Moved 454.4951 456.2103 438 0.2227091 0.1286007
Ended 454.5258 459 438 0.2291666 0.1286007
Accept 454.618 0 for
Began 455.2939 381 388 0.04861106 -3.924585E-08
Stationary 455.3246 381 388 0.04861106 -3.924585E-08
Stationary 455.3553 381 388 0.04861106 -3.924585E-08
Moved 455.386 381 374.7639 0.04861106 -0.03404358
Moved 455.4167 381 370.8143 0.04861106 -0.0442019
Moved 455.4474 381 366.9378 0.04861106 -0.05417246
Moved 455.4781 381 365 0.04861106 -0.05915646
Moved 455.5089 381 362.5375 0.04861106 -0.06549011
Moved 455.5396 381 360.6632 0.04861106 -0.07031067
Stationary 455.5703 381 361 0.04861106 -0.06944452
Moved 455.601 371.7458 359.678 0.02718935 -0.07284478
Moved 455.6317 373.3414 360 0.03088295 -0.07201654
Stationary 455.6624 373 360 0.0300926 -0.07201654
Moved 455.6931 369.5898 360 0.02219856 -0.07201654
Moved 455.7239 366.1015 359 0.01412382 -0.07458848
Moved 455.7546 360.3616 355.1808 0.0008371472 -0.08441163
Moved 455.7853 349.1932 345.1932 -0.02501567 -0.1100998
Moved 455.816 340.5 334 -0.0451389 -0.1388889
Moved 455.8468 331.7586 316.3562 -0.06537368 -0.1842691
Moved 455.8775 326.0323 301.1939 -0.07862891 -0.2232667
Moved 455.9082 323.1648 292.3297 -0.08526663 -0.2460658
Moved 455.9389 321.7165 287.4329 -0.08861929 -0.2586602
Moved 455.9697 318.5042 282.5042 -0.09605522 -0.2713371
Moved 456.0004 288.7787 296.6284 -0.1648642 -0.2350093
Moved 456.0311 254.0283 321.9743 -0.2453049 -0.1698193
Moved 456.0618 232.8225 341.1776 -0.2943924 -0.1204281
Moved 456.0926 212.3193 359.2977 -0.3418534 -0.07382287
Moved 456.1233 193.1294 377.8706 -0.3862745 -0.02605305
Moved 456.154 174.888 396.2388 -0.4284998 0.02119033
Moved 456.1847 161.8845 409.1155 -0.4586006 0.05430936
Moved 456.2154 156.4172 416.1655 -0.4712564 0.07244216
Moved 456.2461 153.5426 419.4574 -0.4779107 0.0809089
Moved 456.2769 152.6803 420.3197 -0.4799067 0.08312676
Moved 456.3076 152 421.8683 -0.4814814 0.08710991
Moved 456.3383 152 424.7517 -0.4814814 0.09452592
Moved 456.369 170.5 431 -0.4386574 0.1105966
Moved 456.3997 214.9522 434 -0.3357588 0.1183127
Moved 456.4305 242.0622 434 -0.2730043 0.1183127
Moved 456.4612 259.4037 434 -0.2328617 0.1183127
Moved 456.4919 269.9789 424.7159 -0.2083822 0.09443401
Ended 456.5226 278.9133 424.6956 -0.1877006 0.0943815
Candidates 456.6148 13 bad based base bar bass nasa gas bases hat jar scare mart had
Began 457.137 315.7529 453 -0.1024238 0.167181
Moved 457.1678 355.597 453 -0.0101921 0.167181
Moved 457.1985 398.6021 453 0.08935679 0.167181
Moved 457.2292 424.1275 444.2675 0.1484432 0.1447209
Ended 457.2599 432.4465 444 0.1677002 0.1440329
Accept 457.3214 0 bad
Began 458.0894 322 458 -0.08796295 0.180041
Stationary 458.1201 322 458 -0.08796295 0.180041
Stationary 458.1508 322 458 -0.08796295 0.180041
Stationary 458.1815 322 458 -0.08796295 0.180041
Stationary 458.2122 322 458 -0.08796295 0.180041
Stationary 458.243 322 458 -0.08796295 0.180041
Stationary 458.2737 322 458 -0.08796295 0.180041
Moved 458.3044 322 477.6902 -0.08796295 0.2306846
Stationary 458.3351 322 477.6902 -0.08796295 0.2306846
Moved 458.3658 330.5458 490.1832 -0.06818101 0.2628169
Moved 458.3966 332.419 501.2571 -0.06384487 0.2912991
Moved 458.4273 333 508.7838 -0.06249999 0.3106578
Moved 458.458 334 515.6036 -0.06018519 0.3281986
Moved 458.4887 334 521.3583 -0.06018519 0.3429996
Moved 458.5195 334 525.3358 -0.06018519 0.3532299
Moved 458.5502 334 530.1001 -0.06018519 0.3654837
Moved 458.5809 334.9779 533.9779 -0.05792146 0.3754575
Moved 458.6116 337.8515 536.8514 -0.05126973 0.3828482
Moved 458.6424 341.736 539.368 -0.04227787 0.3893208
Moved 458.6731 367.5033 544.5005 0.0173688 0.4025218
Moved 458.7038 417.3802 547.1253 0.1328246 0.4092728
Moved 458.7345 451.7161 547 0.2123057 0.4089505
Moved 458.7653 462.0497 547 0.2362262 0.4089505
Moved 458.796 468.7856 547 0.2518184 0.4089505
Moved 458.8267 471.6429 547 0.2584326 0.4089505
Moved 458.8574 475.8683 547 0.2682137 0.4089505
Moved 458.8881 478.5 547 0.2743055 0.4089505
Moved 458.9188 480.5 547 0.2789353 0.4089505
Moved 458.9495 481.0212 539.8514 0.2801417 0.3905644
Moved 458.9802 482.2224 540 0.2829221 0.3909464
Moved 459.011 483.2499 540 0.2853007 0.3909464
Moved 459.0417 483 538.8538 0.2847222 0.3879983
Moved 459.0724 484.0583 539 0.287172 0.3883744
Moved 459.1031 484 537.6893 0.287037 0.3850032
Moved 459.1339 484 533.0709 0.287037 0.3731247
Moved 459.1646 467.0606 518.0707 0.2478254 0.3345438
Moved 459.1953 430.5275 474.0829 0.163258 0.2214067
Moved 459.226 414.6569 453.7452 0.1265207 0.1690976
Moved 459.2568 388.6949 413.5763 0.06642342 0.06578257
Moved 459.2875 371.1654 382.3308 0.02584587 -0.01458125
Moved 459.3182 359.7244 354.1733 -0.0006379188 -0.08700272
Moved 459.3489 351.9954 335.9861 -0.0185292 -0.1337806
Moved 459.3796 346.2334 321.4668 -0.03186712 -0.1711246
Moved 459.4104 342.1737 310.3474 -0.04126464 -0.1997239
Moved 459.4411 338.2085 303.2085 -0.05044331 -0.2180852
Moved 459.4718 336.3298 298.6596 -0.05479211 -0.229785
Moved 459.5025 334.5 294 -0.05902777 -0.2417696
Moved 459.5332 333 290.5084 -0.06249999 -0.2507502
Moved 459.564 331.6309 287.6309 -0.06566932 -0.2581512
Stationary 459.5947 331.6309 287.6309 -0.06566932 -0.2581512
Moved 459.6254 332 285.7654 -0.06481484 -0.262949
Moved 459.6561 330.6787 284.6787 -0.0678733 -0.2657441
Moved 459.6869 329.9537 284 -0.06955152 -0.2674897
Moved 459.7176 318.1008 295.7985 -0.09698898 -0.2371439
Moved 459.7483 296.0254 319.4714 -0.1480894 -0.1762566
Moved 459.7791 279.8814 344.9829 -0.1854597 -0.1106407
Moved 459.8097 270.2653 370.2042 -0.2077193 -0.04577103
Moved 459.8405 266.1406 386.2972 -0.2172672 -0.004379759
Moved 459.8712 262.3185 400.7262 -0.2261147 0.03273199
Moved 459.9019 257.0195 422.9222 -0.2383809 0.08982034
Moved 459.9326 254.3557 438.2214 -0.2445469 0.1291701
Moved 459.9634 254 450.9917 -0.2453704 0.1620156
Moved 459.994 254 455.3398 -0.2453704 0.1731989
Moved 460.0248 254 462.3965 -0.2453704 0.1913489
Moved 460.0555 254 467.5 -0.2453704 0.2044752
Moved 460.0862 254 476.2488 -0.2453704 0.2269772
Moved 460.1169 254 480.9132 -0.2453704 0.2389742
Moved 460.1477 263.8304 486.6608 -0.2226148 0.2537572
Moved 460.1784 270.8742 492.5828 -0.2063097 0.2689887
Moved 460.2091 284.0201 500.51 -0.1758795 0.2893775
Moved 460.2398 312.5988 511.533 -0.1097251 0.3177287
Moved 460.2706 335.0445 515.0089 -0.05776743 0.3266689
Moved 460.3013 345.9608 515 -0.03249804 0.326646
Moved 460.332 348.8409 515 -0.02583121 0.326646
Moved 460.3627 349.5 515 -0.02430553 0.326646
Moved 460.3934 349 515 -0.02546296 0.326646
Moved 460.4242 349 504.8283 -0.02546296 0.3004842
Moved 460.4549 326.5907 486.5907 -0.07733628 0.2535768
Moved 460.4856 298.2367 459.713 -0.1429707 0.184447
Moved 460.5163 272.7807 434.7806 -0.2018966 0.1203206
Moved 460.547 251.6561 411.7654 -0.2507961 0.06112507
Moved 460.5778 237.9482 397.9482 -0.2825274 0.02558684
Moved 460.6085 231 389.5 -0.2986111 0.003857946
Moved 460.6392 227.8481 385.8481 -0.3059071 -0.005534607
Ended 460.6699 226 384 -0.3101852 -0.01028807
Candidates 460.7314 13 drivers rivers rights gives roberts success fixed drives rivera richard riders gifts tigers
Began 461.3151 334 473 -0.06018519 0.2186213
Stationary 461.3458 334 473 -0.06018519 0.2186213
